ast	application security testing
acad	academic
acad	academical
acad	academy
accept	acceptance
accomm	accommodation
accompl	accomplished
acc	according
acc,acct	account
acc,accs,accts	accounts
acc,accus	accusative
achievem	achievement
add	addenda
add	addendum
addit	addition
addr	address
adj	adjectival
adj	adjective
adjs	adjectives
adj	adjunct
admin	administration
admin	administrative
adm	admiral
adm,admir	admiralty
admon,admonit	admonition
adv	advanced
advancem	advancement
adv	advances
adv	adventure
adv,advb	adverb
adv,advb	adverbial
adv,advb	adverbially
advs	adverbs
abvt,advert	advertisement
advts	advertisements
adv	advices
adv,advoc	advocate
aerodynam	aerodynamics
aeronaut	aeronautical
aeronaut	aeronautics
aff	affairs
affect	affecting
affect	affection
afr	africa
afr	african
agst	against
agric	agricultural
agric	agriculture
alch	alchemy
alg	algebra
alleg	allegiance
allit	alliterative
alloc	allocate
alloc	allocation
alm	almanac
alph	alphabet
alph	alphabetical
alt	alteration
amer	america
amer	american
anal	analysis
analyt	analytic
analyt	analytical
anat	anatomical
anat	anatomy
anc	ancient
anecd	anecdotes
ang,angl	anglian
anglo-ind	anglo-indian
anim	animal
anim	animals
ann	annal
ann	annals
anniv	anniversary
annot	annotation
ann	annual
anon	anonymous
answ	answer
a	ante
anthropol	anthropological
anthrop,anthropol	anthropology
ant,antiq	antiquities
antiq	antiquity
aphet	aphetic
aphet	aphetized
apoc	apocalyptic
apoc	apocalyptical
apol	apologies
apol	apology
app	apparently
app	appendix
applic	application
applic	applications
appl	applied
appos	appositive
appos	appositively
apr	april
arab	arabic
arb	arber
archaeol	archaeological
archaeol	archaeology
arch	archaic
abp	archbishop
archipel	archipelago
archit	architectural
arch,archit	architecture
arch	archive
arch	archives
argt,arg	argument
arith,arithm	arithmetic
arithm	arithmetical
arrangem	arrangement
art	article
artic	articulation
artific	artificial
artill	artillery
asc	ascending
ashm	ashmole
assemb	assemblies
assemb	assembly
assoc	association
assyriol	assyriology
astrol	astrology
astronaut	astronautical
astronaut	astronautics
astron	astronomic
astron	astronomical
astr,astron	astronomy
att	attic
attrib	attribute
attrib	attributes
attrib	attributive
attrib	attributively
aug	august
austral	australia
austral	australian
auth	authenticate
auth	authentication
auth	author
auth	authorization
auth	authorize
auth	authors
autobiogr	autobiographic
autobiogr	autobiographical
autobiog,autobiogr	autobiography
ave	avenue
avg	average
ayrsh	ayrshire
bacteriol	bacteriologic
bacteriol	bacteriological
bacteriol	bacteriology
bedford,bedfordsh	bedfordshire
bef	before
belg	belgian
berks,berksh	berkshire
berw,berwicksh	berwickshire
betw	between
bibliogr	bibliography
bin	binary
biochem	biochemical
biochem	biochemistry
biogr	biographic
biogr	biographical
biog,biogr	biography
biol	biological
biol	biology
bp	bishop
bk	book
bks	books
bool	boolean
bord	border
bot	botanic
bot	botanical
bot	botany
blvd	boulevard
braz	brazilian
brit	britain
brit	british
bro	brother
bros	brothers
bucks	buckinghamshire
buf	buffer
build	building
bull	bulletin
bur	bureau
biz	business
calc	calculate
calc	calculus
cal,calend	calendar
calif	california
calligr	calligraphy
camb,cambr	cambridge
campanol	campanology
canad	canadian
canterb	canterbury
cap	capitalize
capt	captain
cartogr	cartographic
cartogr	cartographical
cartogr	cartography
catal	catalogue
catech	catechism
cath	catholic
cm	centimetre
cent	central
cent,c	century
ceram	ceramics
cert,certif	certificate
certificate,	certify,
chamb	chamber
char,charac	character
chas	charles
chem	chemical
chem	chemistry
chesh	cheshire
chr	christian
chron	chronicle
chr,chron,chrons	chronicles
chron,chronol	chronology
ch	church
ciggy	cigarette
cinematogr	cinematographic
cinematogr	cinematographical
cinematogr	cinematography
c	circa
circ	circle
class	classical
classif	classification
cl	clause
climatol	climatology
clin	clinical
cl	club
coll	collected
coll,	collection,collect
collect	collective
collect	collectively
coll	college
colloq	colloquial
colloq	colloquially
colloq	colloquies
col	colonel
col,coloss	colossians
col	column
comb	combination
combs	combinations
cmd	command
commandm	commandment
commend	commendation
comm	commentary
comm	commerce
commerc	commercial
com,comm,commiss	commission
comm	committee
com,comm	common
commonw	commonwealth
communic	communication
comp,compan	companion
co,comp	company
comp,compar	comparative
cf,cmp	compare
cmp	comparison
compend	compendious
compend	compendium
compl	complement
compl	complete
comp,compos	composition
comp,cpd	compound
conc	concerning
conch	conchology
conc	concise
concl	conclusion
concr	concrete
concr	concretely
cf	confer
conf	conference
conf	confession
confid	confidential
config	configuration
config	configure
confl	conflict
confut	confutation
congreg	congregation
congr	congress
congress	congressional
conj	conjugation
conj	conjunction
conn	connect
conn	connecticut
conn	connection
conn	connector
consc	conscience
consecr	consecrated
consecr	consecration
consid	consideration
consid	considerations
consol	consolation
cons	consonant
constit	constitution
constit	constitutional
const,constr	construction
with	construed
contempl	contemplation
contemp	contemporary
contempt	contemptuous
contempt	contemptuously
contend	contending
contend	contendings
content	contention
ctx	context
contin	continuation
contr	contracted
contr	contraction
contradict	contradiction
contr	contrasted
contrib	contribution
ctl	control
controv	controversial
controv	controversy
conv,convent	convention
conversat	conversation
conv	conversion
conv,cvt	convert
convoc	convocation
cor	corinthians
cornw	cornwall
coron	coronation
corr,corresp	correspondence
corresp	corresponding
counc	council
ct	count
c	county
crt,ct	court
crts	courts
courtsh	courtship
craniol	craniology
craniom	craniometry
crim	criminal
crit	critical
crit	criticism
cryptogr,crypt	cryptography
crypt	cryptology
crystallogr	crystallography
cumb,cumberld,cumbld	cumberland
c	cup
cycl	cyclopaedia
cytol	cytology
dan	daniel
dat	dative
dau	daughter
deb	debate
dec	december
declar	declaration
ded	dedicated
ded	dedication
def	defence
def	define
def	definite
def	definition
del	delete
deliv	deliverance
demonstr	demonstration
dem	demonstrative
dep,dept	department
depred,depredat	depredation
dep	deputy
derbysh	derbyshire
deriv	derivative
derog	derogatory
descr	description
descr	descriptive
dst,dest	destination
deut	deuteronomy
dev	develop
devel	development
devonsh	devonshire
dial	dialect
dict	dictionary
diff	difference
diffic	difficult
diffic	difficulty
dim	diminutive
direct	direction
dir	directory
discipl	discipline
disc	discourse
discov	discovery
disc	discriminant
discrim	discrimination
discuss	discussion
dis	disease
dis	diseases
diss	dissertation
dist	distance
distemp	distemper
distill	distilling
distrib	distribute
distrib	distribution
dist	distributor
dist	district
divers	diversity
div	divinity
div	division
doc,dr	doctor
doctr	doctrine
doc	document
doc	documents
domest	domestic
dble	double
doz	dozen
dk	duke
durh	durham
dyslog	dyslogistic
e	east
e,east	eastern
eccl,eccles	ecclesiastes
eccl,eccles	ecclesiastical
ecclus	ecclesiasticus
ecol	ecological
ecol	ecology
econ	economic
econ	economical
econ	economics
edin,edinb	edinburgh
ed	edition
ed	editor
educ	education
educ	educational
ed,edw	edward
egypt	egyptian
egyptol	egyptology
electr	electric
electr	electrical
electr	electricity
electro-magn	electro-magnetism
electro-physiol	electro-physiology
elem	element
elem	elementary
elem	elements
eliz	elizabeth
elizab	elizabethan
ellipt	elliptical
ellipt	elliptically
emb	embassy
embryol	embryologic
embryol	embryological
embryol	embryology
emph	emphatic
emph	emphatically
encycl	encyclopaedia
encycl	encyclopaedic
engin	engineering
eng	england
eng	english
englishw	englishwomen
enq	enquiry
enthus	enthusiasm
ent,entom,entomol	entomological
ent,entom,entomol,enzymol	entomology
enum	enumeration
env	environment
eph,ephes	ephesians
epil	epilogue
episc	episcopacy
ep,epist	epistle
epit	epitaph
equip	equipment
erron	erroneous
erron	erroneously
err	error
esc	escape
esd	esdras
esp	especially
ess	essay
ess	essays
essent	essential
establ	establishment
esth	esther
etc	etcetera
ethnol	ethnology
etymol	etymological
etymol	etymologically
etym,etymol	etymology
euphem	euphemistic
euphem	euphemistically
eval	evaluate
eval	evaluation
evang	evangelical
even	evening
evid	evidence
evol	evolution
evol	evolutionary
exalt	exaltation
exam	examination
excp	except
excp	exception
exch	exchange
exch	exchequer
exec	execute
exec	execution
exec	executive
exerc	exercise
exerc	exercises
exhib	exhibit
exhib	exhibition
exhib	exhibits
exod	exodus
exped	expedition
exper	experiment
exper	experimental
explan	explanation
explic	explication
explor	exploration
expos	exposition
expos	expository
ext	extend
ext	extension
ezek	ezekiel
fab	fable
fab	fables
fam,famil	familiar
fam,famil	familiarly
fam	family
farew	farewell
fr	father
feb	february
f,fem	feminine
fld	field
fifesh	fifeshire
fig	figurative
fig	figuratively
fig	figure
float	floating
fl	floruit
fl	flourished
f	folio
ff	folios
footpr	footprint
forfarsh	forfarshire
fmt	format
fortif	fortification
fortn	fortnightly
fwd	forward
found	foundation
found	foundations
frac	fraction
fragm	fragment
fragm	fragments
fratern	fraternity
fr	french
freq	frequency
freq	frequent
freq	frequently
fri	friday
friendsh	friendship
fr	from
func	function
fund	fundamental
fund	fundamentals
furnit	furniture
fut	future
gal	galatians
gal	gallon
gard	garden
gard	gardening
gastron	gastronomy
gaz	gazette
gen	general
gen	generally
gen	genesis
gen	genitive
geogr	geographic
geogr	geographical
geog,geogr	geography
geol	geologic
geol	geological
geol	geology
geom	geometric
geom	geometrical
geom	geometry
geomorphol	geomorphology
geo	george
ger	german
gerund	gerundial
glac	glacier
glac	glaciers
glasg	glasgow
gloss	glossary
glos,glouc,gloucestersh	gloucestershire
gd	good
gosp	gospel
gosp	gospels
gov,govt	government
g,gm	gram
gr,gram	grammar
gt	great
guar	guarantee
gynaecol	gynaecology
hab	habakkuk
haematol	haematology
hag	haggai
hampsh,hants	hampshire
handbk	handbook
hdl	handle
har	harmonic
hdr	header
heb	hebrew
heb,hebr	hebrews
ha	hectare
hen	henry
her	heraldry
herb	herbalism
heref,hereford,herefordsh	herefordshire
hex	hexadecimal
hierogl	hieroglyphic
histol	histological
histol	histology
hist	historic
hist	historical
hist	history
hom	homilies
hon	honourable
horiz	horizontal
horol	horology
hort	horticultural
hort	horticulture
hos	hosea
hosp	hospital
hrs	hours
househ	household
housek	housekeeping
cwt	hundredweight
husb	husbandry
hydraul	hydraulic
hydrol	hydrological
hydrol	hydrology
ichth	ichthyology
icthyol	icthyology
ideol	ideological
ideol	ideology
idol	idolatry
illustr	illustrated
illustr	illustration
imag	imaginary
imag	imagination
imit	imitative
immunol	immunology
imp	imperative
imperf,impf	imperfect
impers	impersonal
impr	impression
impr	imprint
improp	improper
improp	improperly
impr	improved
inaug	inaugural
inclos	inclosure
indef	indefinite
ind	india
ind	indian
ind,indic	indicative
ind,indir	indirect
industr	industrial
ind	industry
inf	infinite
infin	infinitive
inf	infinity
infl	influence
infl	influenced
info	information
init	initial
init	initialization
init	initialize
innoc	innocence
innoc	innocent
inorg	inorganic
inq	inquiry
inst	institute
inst	institution
instr	instruction
instr	instrumental
intellect	intellectual
intell	intelligence
intell	intelligent
interc	intercourse
int,interj	interjection
interl	interlude
internat	international
i18n	internationalization
interpr	interpretation
interrog	interrogative
intr,intrans	intransitive
intro,introd	introduction
introd	introductory
invent	invention
inv,invent	inventories
inv,invent	inventory
invertebr	invertebrate
invertebr	invertebrated
investig	investigation
investm	investment
invoc	invocation
irel	ireland
ir	irish
iron	ironically
irreg	irregular
irreg	irregularly
isa	isaiah
ital	italian
iter	iterate
iter	iteration
iter	iterator
jahrb	jahrbuch
jam,jas	james
jam	jamieson
jan	january
jap	japanese
jer	jeremiah
joc	jocular
joc	jocularly
josh	joshua
jrnl	journal
jrnls	journals
jud,judg	judges
jul	july
jun	june
jun,jnr,jr	junior
jurisd,jurisdict	jurisdiction
jurispr	jurisprudence
justif,justific	justification
kpr	keeper
kent	kentish
kilo	kilograms
km	kilometre
k	king
kingd	kingdom
kgs	kings
knowl	knowledge
lab	laboratory
lam,lament	lamentations
lanc,lancash,lancs	lancashire
ln	lane
lang	language
langs	languages
lat	latin
lect	lecture
lect	lectures
leechd	leechdom
leg	legend
leg	legends
leicest,leicester,leicestersh,leics	leicestershire
len	length
let	letter
lett	letters
lev	leviticus
lex	lexicon
libr,lib	library
limnol	limnology
lincolnsh,lincs	lincolnshire
l	line
ll	lines
ling	linguistic
ling	linguistics
linn	linnean
lit	literal
lit	literally
lit	literary
lit	literature
lithogr	lithography
lithol	lithology
l	litre
liturg	liturgy
loc	locale
l10n	localization
loc	locate
loc	location
lond	london
ld	lord
lds	lords
low	lowercase
macc	maccabees
mach	machine
mach	machines
mag	magazine
magn	magnetic
magn	magnetism
mal	malachi
managem	management
manch	manchester
manip	manipulation
mant	mantissa
man	manual
manuf	manufacture
manuf	manufactures
manuf	manufacturing
ms	manuscript
mss	manuscripts
mar	march
m,masc	masculine
mass	massachussets
math	mathematical
math	mathematics
matt	matthew
max	maximum
meas	measure
measurem	measurement
mech	mechanical
med	medical
med	medicine
med	medieval
medit	meditation
mtg	meeting
mem	memoir
mem	memoirs
mem	memory
merch	merchant
merch	merchants
merc	mercury
msg	message
metallif	metalliferous
metallogr	metallographic
metallogr	metallographical
metallogr	metallography
metall	metallurgy
metamorph	metamorphosis
metaphor	metaphorical
metaphor	metaphorically
metaph	metaphysics
meteorol	meteorologic
meteorol	meteorological
meteorol	meteorology
meth	method
m	metre
metrop	metropolis
metrop	metropolitan
mex	mexican
mic	micah
mich	michigan
microbiol	microbiology
mike	microphone
microsc	microscopic
microsc	microscopical
midl	midland
m	mile
mil,milit	military
mg	milligram
mm	millimetre
m	million
mineral	minaralogic
mineral	minaralogical
min,mineral	mineralogy
min	minimum
min	minute
misc	miscellanelaneous
misc,miscell	miscellany
mispr	misprinted
mod	modern
mod	modification
mod	modify
mod	module
mod	modulo
mon	monday
monum	monument
morphol	morphology
m	motorway
mt	mount
mt	mountain
mts	mountains
multi	multiple
mul	multiply
munic	municipal
munif	munificence
munim	muniment
mus	museum
mus	music
mus	musical
mut	mutable
mut	mutate
mut	mutation
myst	mystery
myth,mythol	mythology
nah	nahum
narr,narrat	narrative
nat	natural
naut	nautical
nav	naval
nav,navig	navigation
neh	nehemiah
neighb	neighbour
neighb	neighbourhood
nerv	nervous
net	network
neurol	neurologic
neurol	neurological
neurol	neurology
neurosurg	neurosurgery
n	neuter
newc	newcastle
newspr	newsprint
nom	nominative
nonce-wd	nonce-word
non-conf,nonconf	nonconformist
norf	norfolk
n	north
northamptonsh,northants	northamptonshire
n,north	northern
northumb,northumbld	northumberland
northumb,northumbr	northumbrian
norw,norweg	norwegian
notts	nottinghamshire
n	noun
ns	nouns
nov	november
nucl	nuclear
num,no.	number
num	numbers
numism	numismatics
obad	obadiah
obed	obedience
obj	object
obj	objective
obl	oblique
observ	observation
obs	obsolete
obstet,obstetr	obstetric
occas	occasional
occas	occasionally
occup	occupation
occup	occupational
occurr	occurrence
oceanogr	oceanographic
oceanogr	oceanographical
oceanogr	oceanography
oct	october
off	office
off,offic	official
okla	oklahoma
ont	ontario
op	operate
op	operation
op	operator
ophthalmol	ophtalmologic
ophthalmol	ophtalmological
ophthalm,ophthalmol	ophthalmology
oppress	oppression
opt	optics
opt	option
orac	oracle
ord	order
ord	ordinance
org	organic
orig	origin
orig	original
orig	originate
orig	origination
orkn	orkney
ornithol	ornithologic
ornithol	ornithological
ornith,ornithol	ornithology
orthogr	orthography
outl	outline
ovfl	overflow
oxf	oxford
oxfordsh,oxon	oxfordshire
pkg	package
p	page
pp	pages
palaeobot	palaeobotany
palaeogr	palaeography
palaeontol	palaeontologic
palaeontol	palaeontological
palaeont,palaeontol	palaeontology
paraphr	paraphrase
paraphr	paraphrased
parasitol	parasitology
parl	parliament
parl	parliamentary
parnass	parnassus
pt	part
ppl	participial
pple	participle
pples	participles
pass	passive
pass	passively
pa	past
path,pathol	pathologic
path,pathol	pathological
path,pathol	pathology
peculat	peculation
p	pence
penins	peninsula
pa	pennsylvania
perf,pf	perfect
perf	perfection
perf	perform
perf	performance
perh	perhaps
perim	perimeter
periodontol	periodontologic
periodontol	periodontological
periodontol	periodontology
perp	perpendicular
persec	persecution
pers	persian
pers	person
pers	personal
personif	personified
perthsh	perthshire
pet	peter
petrogr	petrographic
petrogr	petrographical
petrogr	petrography
petrol	petrologic
petrol	petrological
petrol	petrology
pharmaceut	pharmaceutical
pharmacol	pharmacological
pharm,pharmacol	pharmacology
philad	philadelphia
philem	philemon
phil,philipp	philippians
philol	philologic
philol	philological
philol	philology
phil,philos	philosophic
phil,philos	philosophical
phil,philos	philosophy
phoen	phoenician
phonet	phonetic
phonet	phonetically
phonol	phonology
photogr	photographic
photogr	photographical
photog,photogr	photography
phr	phrase
phrenol	phrenology
physiogr	physiography
physiol	physiologic
physiol	physiological
phys,physiol	physiology
pict	pictorial
pict	picture
pict	pictures
pt	pint
pl,plur	plural
poet	poetic
poet	poetical
ptr	pointer
pol,polit	political
pol,polit	politics
polytechn	polytechnic
polytechn	polytechnical
pop	popular
pop	popularly
porc	porcelain
port	portuguese
pos	position
pos	positive
poss	possessive
poss	possible
poss	possibly
posth	posthumous
posth	posthumously
postm	postmaster
pott	pottery
lb	pound
pract	practical
pract	practice
prec	preceding
pred,predic	predicate
predic	predicative
predic	predicatively
predict	prediction
pref	preface
pref	prefer
pref	preference
pref	prefix
preh,prehist	prehistoric
prehist	prehistory
prep	preposition
prep	prepositional
prerog	prerogative
presb	presbyterian
presb	presbytery
pr,pres	present
preserv	preservation
prev	previous
prim	primer
princ	principle
print	printing
priv	privative
probab	probabilities
probab,prob	probability
prob	probably
probl	problem
proc	procedure
proc	proceedings
proc	process
prod	product
prof	professor
prof	profile
prog	program
prog	progress
proj	project
prol	prologue
pron	pronoun
pron	pronounce
pron,pronunc	pronunciation
prop	properly
prop	properties
prop	property
prop	proportion
propr	proprietary
pros	prosody
prot	protocol
proto	prototype
prov	proverb
prov	proverbial
prov	proverbly
prov	proverbs
provid	providence
provinc	provincial
provis	provisional
ps	psalms
pseudo-arch	pseudo-archaic
pseudo-dial	pseudo-dialect
pseudo-sc	pseudo-scots
psychoanal	psychoanalysis
psychoanalyt	psychoanalytic
psychol	psychologic
psychol	psychological
psych,psychol	psychology
psychopathol	psychopathologic
psychopathol	psychopathological
psychopathol	psychopathology
publ	public
publ	publication
punc	punctuate
punc	punctuation
purg	purgatory
quad	quadratic
qt	quart
q	queen
qld	queensland
qry	query
ques	question
quot	quotation
quots	quotations
quot	quotient
radiol	radiology
rand	random
reas	reason
reb,rebell	rebellion
recv	receive
reclam	reclamation
recoll	recollection
rec	record
rect	rectangle
rec	recursive
redempt	redemption
redupl	reduplicating
refash	refashioned
refash	refashioning
ref	reference
refl	reflection
refl	reflexive
ref	reformation
refus	refusal
refut	refutation
regic	regicide
reg,regist,regr	register
reg	regular
rel	related
rel	relating
rel	relation
rel	relative
relig	religion
relig	religious
reminisc	reminiscence
remonstr	remonstrance
renfrewsh	renfrewshire
rep,rept	report
repo	repository
repr	representative
repr	representing
reprod	reproduction
reprod	reproductive
repub	republic
res	research
resid	residence
resid	residential
resp	respond
resp	response
resp	responsive
retrosp	retrospective
ret	return
rev	revelation
rev	reverse
rev	review
rev	revised
revol	revolution
rhet	rhetoric
rhet	rhetorical
rhet	rhetorically
rich	richard
rd	road
rom	roman
rom	romans
ross-sh	ross-shire
roxb	roxburgh
roy,r	royal
rudim	rudiment
russ	russia
russ	russian
st	saint
ss	saints
sam	samuel
sask	saskatchewan
sat	saturday
sax	saxon
scand	scandinavia
scand	scandinavian
sched	schedule
sch	school
sci	science
sci	scientific
sc	scilicet
scotl	scotland
sc	scots
sc,scot	scottish
script	scripture
sculpt	sculpture
sec	second
seg	segment
seismol	seismology
sel	selected
select	selection
sem	semaphore
sent	sentence
sept	september
seq	sequence
ser	series
serm	sermon
srv	server
sess	session
settlem	settlement
sev	several
shakes,shaks	shakespeare
sheph	shepherd
shetl	shetland
shropsh	shropshire
sim	simulate
sim	simulation
sing	singular
soc	society
sociol	sociological
sociol	sociology
som	somerset
sonn	sonnet
src	source
s	south
sw	south-west
south	southern
span	spanish
spec	special
spec	specific
spec	specifically
spec,specif	specification
spec	specify
spec,specim	specimen
spectrosc	spectroscopy
sp	spelling
sq	square
staff,stafford,staffordsh,staffs	staffordshire
stand,std	standard
stm	statement
stat	statistic
stat,statist	statistical
stereo	stereophonic
stratigr	stratigraphical
stratigr	stratigraphy
st	street
str	string
str	strong
struct	structural
struct	structure
stud	studies
subj	subject
subj,subjunct	subjunctive
sub	submarine
subord	subordinate
subscr,subscript,sub	subscription
subseq	subsequent
subseq	subsequently
subst	substantive
subst	substantively
sub	substitute
sub	subtract
suff	suffix
suff	suffolk
superl	superlative
suppl	supplement
suppl	supplementary
supplic	supplication
suppress	suppression
surg	surgery
surg	surgical
surv	survey
surv	surveying
sus	susanna
syll	syllable
symmetr	symmetrical
symm	symmetry
symp	symposium
sync	synchronized
syst,sys	system
tbl	table
tbs,tbsp	tablespoon
tan	tangent
taxon	taxonomic
taxon	taxonomy
tsp	teaspoon
techn	technical
technol	technological
technol,tech	technology
telecomm	telecommunications
tel,telegr	telegraph
telegr	telegraphic
telegr	telegraphical
telegr	telegraphy
tel	telephone
teleph	telephonic
teleph	telephony
temp	temporary
t	tense
teratol	teratology
term	terminal
term	terminate
term	termination
terminol	terminological
terminol	terminology
terrestr	terrestrial
test	testament
textbk	textbook
theat,theatr	theatre
theat,theatr	theatrical
theol	theological
theol	theology
theoret	theoretical
thermonucl	thermonuclear
thes	thesaurus
thess	thessalonians
thru	through
thurs	thursday
tim	timothy
tit	titus
topogr	topographic
topogr	topographical
topogr	topography
trad	tradition
trad	traditional
trag	tragedy
trans	transaction
xfer	transfer
trans	transitive
xlat	translate
tr,transl	translating
tr,transl	translation
xmit	transmit
xpar	transparency
xpar	transparent
xpos	transpose
xpos	transposition
transubstant	transubstantiation
trav	travel
treas	treasurer
treas	treasury
treat	treatise
treatm	treatment
trib	tribune
trig,trigonom	trigonometry
trop	tropical
troub,troubl	troublesome
tues	tuesday
typog,typogr	typography
ult	ultimately
univ	university
unkn	unknown
unnat	unnatural
unoffic	unofficial
unstr	unstressed
up	uppercase
urin	urinary
usu	usually
utilit	utilitarian
util	utility
vac	vacation
valedict	valediction
var	variable
var	variance
var	variant
varr,vars	variants
vec	vector
veg	vegetable
venet	venetian
v,vb	verb
vbl	verbal
vbs	verbs
v,vs	versus
vertebr	vertebrate
vet	veterinary
vic,vict	victoria
viz	videlicet
vind,vindic	vindicated
vind,vindic	vindication
virg	virgin
va	virginia
virol	virology
voc,vocab	vocabulary
vol	volume
vols	volumes
voy	voyage
vulg	vulgar
vulg	vulgarly
vulg	vulgate
warwicksh	warwickshire
wk	weak
weds	wednesday
wk	week
wkly	weekly
wt	weight
w	west
w,west	western
westm	westminster
westmld,westmorld,westmrld	westmoreland
will	william
wilts,wiltsh	wiltshire
win	window
wis	wisconsin
wisd	wisdom
wonderf	wonderful
worc,worcestersh,worcs	worcestershire
wd	word
wk	work
wks	works
writ	writing
yd	yard
yr	year
yearbk	yearbook
yrs	years
yorks,yorksh	yorkshire
yng	young
cytol	ytological
zech	zechariah
zeitschr	zeitschrift
zeph	zephaniah
zoogeogr	zoogeography
zool	zoological
zool	zoology
qtty,qty	quantity
