Name;Sex;frec;edad_media
ALICIA VANESSA;Female;20;28.4
NATALIA GUADALUPE;Female;20;28.4
TANIA TAMARA;Female;20;28.4
YESHIKA;Female;20;28.4
ANGEL DIOS;Male;20;29.4
RICHARD FRANCISCO;Male;20;29.4
ULISES JESUS;Male;20;29.4
ILEANA CRISTINA;Female;20;29.4
BENJAMIN EDUARDO;Male;20;30.4
GUILLERMO ALVARO;Male;20;30.4
STANISLAV GEORGIEV;Male;20;30.4
CARMEN KARINA;Female;20;30.4
IMOLA;Female;20;30.4
KAREN VERONICA;Female;20;30.4
QIU;Female;20;30.4
YANERIS;Female;20;30.4
EYDAN;Male;20;2.5
SUHAIB;Male;20;7.5
LENNON;Male;20;8.5
KIMBERLY NICOLE;Female;20;9.5
SOCAINA;Female;20;9.5
IKER UNAI;Male;20;11.5
LAUTARO NICOLAS;Male;20;11.5
ANGIE DAYANA;Female;20;11.5
DAYANA BELEN;Female;20;11.5
DEKRA;Female;20;12.5
MENGYAO;Female;20;12.5
ANDY ALEXANDER;Male;20;13.5
SALIMU;Male;20;13.5
VLAD CRISTIAN;Male;20;13.5
DENISA CLAUDIA;Female;20;13.5
ZAMBRA;Female;20;13.5
ANTHONY XAVIER;Male;20;14.5
CARLA ESTHER;Female;20;14.5
DAIANA MARIA;Female;20;15.5
JHOAN STIVEN;Male;20;16.5
VLAD NICOLAE;Male;20;16.5
TIGUIDA;Female;20;16.5
VICTOR ALEXANDRU;Male;20;17.5
JHONIER;Male;20;18.5
JOEL CARLOS;Male;20;18.5
ANDRA CRISTINA;Female;20;18.5
NICOLAS HERNAN;Male;20;19.5
RODRIGO XAVIER;Male;20;19.5
ANDALUCIA;Female;20;19.5
ELIXANE;Female;20;19.5
ALIN GEORGIAN;Male;20;20.5
MANUEL AARON;Male;20;20.5
CRISTIAN ELIAS;Male;20;21.5
CRISTIAN JOAQUIN;Male;20;21.5
DANIEL ADAM;Male;20;21.5
LAURA DESIREE;Female;20;21.5
ABDULLA;Male;20;23.5
ALEX MARTIN;Male;20;23.5
YOUNNES;Male;20;23.5
FABIOLA ALEXANDRA;Female;20;23.5
PAMELA CAROLINA;Female;20;23.5
PAOLA KATHERINE;Female;20;23.5
SVIATOSLAV;Male;20;24.5
TOQEER;Male;20;24.5
ERIKA FABIOLA;Female;20;24.5
ALBERTO BORJA;Male;20;25.5
CLAUDIU OVIDIU;Male;20;25.5
ELVIS EDUARDO;Male;20;25.5
MANDIP;Male;20;25.5
RACHED;Male;20;25.5
KAJA;Female;20;25.5
LEYDI VIVIANA;Female;20;25.5
RAQUEL MAR;Female;20;25.5
ROCIO PAZ;Female;20;25.5
JOSE CARLO;Male;20;26.5
NICU DANIEL;Male;20;26.5
RICARDO PAUL;Male;20;26.5
XAVIER FRANCESC;Male;20;26.5
ANGELICA MERCEDES;Female;20;26.5
TANZEELA;Female;20;26.5
DAMIAN AGUSTIN;Male;20;27.5
OSAZUWA;Male;20;27.5
ERIKA YOLANDA;Female;20;27.5
MAINA;Female;20;27.5
VERONICA ASUNCION;Female;20;27.5
MARIAN DORU;Male;20;28.5
CLAUDIA FRANCISCA;Female;20;28.5
NOELIA MARGARITA;Female;20;28.5
LUCIA COVADONGA;Female;20;29.5
MONICA CANDELARIA;Female;20;29.5
BABUCARR;Male;20;30.5
RODRIGO PEDRO;Male;20;30.5
ALENKA;Female;20;30.5
DANIELA VASILICA;Female;20;30.5
JENNY SUSANA;Female;20;30.5
LAURA REYES;Female;20;30.5
LENUTA MIHAELA;Female;20;30.5
LUCIA RITA;Female;20;30.5
SARJO;Female;20;30.5
SHUWEI;Female;20;30.5
GEOVANE;Male;20;31.5
MARCELO GASTON;Male;20;31.5
OSVALDO JAVIER;Male;20;31.5
EVELINA MARIA;Female;20;31.5
IYA;Female;20;31.5
RACHEL MARIE;Female;20;31.5
VALERIA MARIANA;Female;20;31.5
YUSRAA;Female;20;2.6
XIN YAN;Female;20;4.6
ITHAN;Male;20;7.6
LUNA MARINA;Female;20;8.6
KEVIN GUSTAVO;Male;20;11.6
ALEXANDRU DARIUS;Male;20;12.6
JAZAEL;Male;20;12.6
JOEL MIGUEL;Male;20;12.6
STEVEN JESUS;Male;20;12.6
ANA GABRIEL;Female;20;12.6
FATIM ZAHRA;Female;20;12.6
JENNIFER MICHELLE;Female;20;13.6
SOUHAYL;Male;20;14.6
BRIAN JOEL;Male;20;15.6
FLAVIUS DANIEL;Male;20;15.6
CRISTHIAN ARIEL;Male;20;16.6
JOHN ESTEBAN;Male;20;16.6
NACHA;Female;20;16.6
ODET;Female;20;16.6
ELIAS SEBASTIAN;Male;20;17.6
MARCELO ALEXANDER;Male;20;17.6
ESTEFANY CAROLINA;Female;20;17.6
KAREN LUCIA;Female;20;17.6
ABOUBAKARY;Male;20;18.6
YACO;Male;20;18.6
MARIA ATTENERI;Female;20;18.6
ALEX RUBEN;Male;20;19.6
LIANGLIANG;Male;20;19.6
SAMUEL IVAN;Male;20;19.6
SERGIU CRISTIAN;Male;20;19.6
YERAY MIGUEL;Male;20;19.6
LINJIE;Male;20;20.6
LUCAS ROBERTO;Male;20;20.6
MATIAS GERMAN;Male;20;20.6
MOHAMED ZAKARIA;Male;20;20.6
MARIA NEIVA;Female;20;20.6
NICOLE PATRICIA;Female;20;20.6
JHONNY DANIEL;Male;20;21.6
OSCAR YERAY;Male;20;21.6
SERGIU CATALIN;Male;20;21.6
ROXANA FLORINA;Female;20;21.6
YURI MARCELA;Female;20;21.6
AMRIT;Male;20;22.6
ANDRES ADRIAN;Male;20;22.6
LEWIS JOHN;Male;20;22.6
ANCUTA NICOLETA;Female;20;22.6
AGUSTIN IVAN;Male;20;23.6
ALEXIS RICARDO;Male;20;23.6
MARCOS XAVIER;Male;20;23.6
ANGELICA PAOLA;Female;20;23.6
WENDY JOHANNA;Female;20;23.6
CRISTIAN MARIO;Male;20;24.6
JAVIER EZEQUIEL;Male;20;24.6
MAXIMILIAM;Male;20;24.6
OLIVER THOMAS;Male;20;24.6
VICTOR IONUT;Male;20;24.6
SHELLY;Female;20;24.6
JULIETA SOLEDAD;Female;20;25.6
RUT NOEMI;Female;20;25.6
CORNEL IONUT;Male;20;26.6
TEODOR ALIN;Male;20;26.6
DIANA JULIETH;Female;20;26.6
SOFIA LUCIA;Female;20;26.6
DAMIAN DAVID;Male;20;27.6
DANUT ADRIAN;Male;20;27.6
MAYRA ELIZABET;Female;20;27.6
TANIA DOLORES;Female;20;27.6
MALKEET;Male;20;28.6
MARCEL ADRIAN;Male;20;28.6
ATTIA;Female;20;28.6
ADAM CHARLES;Male;20;29.6
DOUGA;Male;20;29.6
LENIN STALIN;Male;20;29.6
PAPA MALICK;Male;20;29.6
CAROLINA MARTA;Female;20;29.6
INGRID VERONICA;Female;20;29.6
AUREL CRISTIAN;Male;20;30.6
DANIEL MICHEL;Male;20;30.6
JOHN LUIS;Male;20;30.6
LUCAS MARIANO;Male;20;30.6
MARCELIN;Male;20;30.6
MARCOS ISRAEL;Male;20;30.6
NICOLAE SILVIU;Male;20;30.6
DIANA JOSEFINA;Female;20;30.6
FAYE LOUISE;Female;20;30.6
IKER EDUARDO;Male;20;3.7
JENNIFER AINHOA;Female;20;4.7
YIHAD;Male;20;7.7
KEVIN ALFREDO;Male;20;8.7
ANTHONY ALEJANDRO;Male;20;9.7
GENESIS PAOLA;Female;20;9.7
KEVYN;Male;20;10.7
SOLAYMANE;Male;20;10.7
ALEJANDRA VALENTINA;Female;20;10.7
DIEGO JOEL;Male;20;11.7
IBRAHIME;Male;20;11.7
STEVEN JOSE;Male;20;11.7
JHOSUA;Male;20;14.7
ROMANE;Female;20;14.7
TAMIRES;Female;20;15.7
DIANDRA MARIA;Female;20;16.7
HONEY;Female;20;17.7
LINETTE;Female;20;17.7
STEPHANIE CAROLINA;Female;20;17.7
YIRA;Female;20;18.7
JIAQIANG;Male;20;19.7
YANIEL;Male;20;19.7
JAVIER YERAY;Male;20;20.7
PAUL RAZVAN;Male;20;20.7
GISELLE MARIA;Female;20;20.7
JOAO MARCOS;Male;20;22.7
JONATHAN ROBERTO;Male;20;22.7
NASSREDDINE;Male;20;22.7
NICOLAE MADALIN;Male;20;22.7
UARDA;Female;20;22.7
BOGDAN GEORGIAN;Male;20;23.7
ASSETOU;Female;20;23.7
PHILIPE;Male;20;24.7
SUJAN;Male;20;24.7
MARENA;Female;20;24.7
MELINA SOLEDAD;Female;20;24.7
ALADIN;Male;20;25.7
ASSAN;Male;20;25.7
ABDIEL;Male;20;26.7
FABIO RAMON;Male;20;26.7
LUCIAN IONEL;Male;20;26.7
NESTOR SANTIAGO;Male;20;26.7
REYNIER;Male;20;26.7
ENERIZ;Female;20;26.7
LOURDES NATALIA;Female;20;26.7
ALEJANDRO MARC;Male;20;27.7
DAMON;Male;20;27.7
DANNY MANUEL;Male;20;27.7
MARIAN SILVIU;Male;20;27.7
ANCA ALINA;Female;20;27.7
CAMELIA FLORENTINA;Female;20;27.7
MARIANA ANGELICA;Female;20;27.7
PETRU GABRIEL;Male;20;28.7
MIHAELA VASILICA;Female;20;28.7
OGADENIA;Female;20;28.7
VANINA SOLEDAD;Female;20;28.7
HARRY GEORGE;Male;20;29.7
ILIE NICOLAE;Male;20;29.7
MATIAS GUILLERMO;Male;20;29.7
PATRICK CHRISTIAN;Male;20;29.7
PEDRO SAUL;Male;20;29.7
RITA SOFIA;Female;20;29.7
VIVIANA LORENA;Female;20;29.7
EDISON VINICIO;Male;20;30.7
EL GHARRAS;Male;20;30.7
MOHAMMED AZIZ;Male;20;30.7
GABRIELA GUADALUPE;Female;20;30.7
IARA MARIA;Female;20;30.7
LINA ALEXANDRA;Female;20;30.7
ROCIO MARTA;Female;20;30.7
DIPA;Male;20;31.7
HARMINDER;Male;20;31.7
TOMASZ GRZEGORZ;Male;20;31.7
CAIYAN;Female;20;31.7
IVONNE ELIZABETH;Female;20;31.7
MARTA ELOISA;Female;20;31.7
MOUNINA;Female;20;31.7
KAUAN;Male;20;5.8
ANDREEA REBECA;Female;20;7.8
ALEGRA;Female;20;8.8
CARMEN NAYARA;Female;20;8.8
UXURI;Female;20;8.8
AXEL GABRIEL;Male;20;9.8
YERON;Male;20;9.8
ALEXANDRA REBECA;Female;20;9.8
NIDAE;Female;20;9.8
MICHELLE DAYANA;Female;20;11.8
AMIEL;Male;20;12.8
YI FAN;Male;20;12.8
AIZETI;Female;20;12.8
AARON ENRIQUE;Male;20;13.8
JOSEPH STEVEN;Male;20;13.8
MAXENCE;Male;20;13.8
DENISA ROXANA;Female;20;13.8
ALEXANDER SEBASTIAN;Male;20;14.8
BRYAN RICARDO;Male;20;14.8
XINBO;Male;20;14.8
DAYANNE;Female;20;14.8
ALAN MANUEL;Male;20;15.8
ALVARO SAMUEL;Male;20;15.8
KARINA ESTEFANIA;Female;20;15.8
ALEXIS DAMIAN;Male;20;16.8
SIHAM;Male;20;16.8
TROY;Male;20;16.8
CARLOTA LUCIA;Female;20;16.8
LISSETTE ESTEFANIA;Female;20;16.8
IVAN JOEL;Male;20;17.8
PERLA MASSIEL;Female;20;17.8
VANESA ESTEFANIA;Female;20;17.8
OLIVER LUIS;Male;20;18.8
NALLUA;Female;20;18.8
ADRIAN MARIANO;Male;20;19.8
DUMITRU ANDREI;Male;20;19.8
MIHAI TEODOR;Male;20;19.8
SIMRANJIT;Male;20;19.8
LIZETH PAOLA;Female;20;19.8
HENRY XAVIER;Male;20;20.8
JOSUE AARON;Male;20;20.8
JULIAN ALEXANDER;Male;20;20.8
LAURA ANNA;Female;20;20.8
MADALINA DANIELA;Female;20;20.8
ZOI;Female;20;20.8
JOHN BYRON;Male;20;21.8
MALCO;Male;20;21.8
RAZVAN LUCIAN;Male;20;21.8
DANIEL ANDREW;Male;20;22.8
FRANCO LUCIANO;Male;20;22.8
ADELA MIHAELA;Female;20;22.8
STACEY LOUISE;Female;20;22.8
STEFANIA DANIELA;Female;20;22.8
FREDDY SANTIAGO;Male;20;23.8
HUGO ANDRE;Male;20;23.8
JOSE MIKEL;Male;20;23.8
QUNFENG;Male;20;23.8
WILMER DAVID;Male;20;23.8
MIRELLA CARMEN;Female;20;23.8
PAULA KARINA;Female;20;24.8
ALEJANDRO ADOLFO;Male;20;25.8
JIANYU;Male;20;25.8
DJENEBOU;Female;20;25.8
ELIZABET MARIA;Female;20;25.8
ELSA ALEXANDRA;Female;20;25.8
JULIA ANNA;Female;20;25.8
NAZIRA;Female;20;25.8
PAULA NIEVES;Female;20;25.8
CATALIN CIPRIAN;Male;20;26.8
DAVID MATIAS;Male;20;26.8
ALINA PAULA;Female;20;26.8
NATALIE MARIE;Female;20;26.8
SANDRA JULIANA;Female;20;26.8
VANESSA JESUS;Female;20;26.8
GEOVANY;Male;20;27.8
VANESSA ROSARIO;Female;20;27.8
ELIZABETH ALEJANDRA;Female;20;28.8
EMOKE;Female;20;28.8
KARINA RAQUEL;Female;20;28.8
LILIANA ALINA;Female;20;28.8
TAMMY;Female;20;28.8
CORNEL MIHAI;Male;20;29.8
EDISON JESUS;Male;20;29.8
ROBBIE;Male;20;29.8
CAMELIA ADRIANA;Female;20;29.8
ABEL RAUL;Male;20;30.8
ALBERTO LUCAS;Male;20;30.8
DANIEL ABEL;Male;20;30.8
PABLO LUCIANO;Male;20;30.8
WILMER JESUS;Male;20;30.8
EMMA RAQUEL;Female;20;30.8
MARIA WENDY;Female;20;30.8
PALOMA INES;Female;20;30.8
SORAYA ROCIO;Female;20;30.8
ABDELGHNI;Male;20;31.8
AMADOU SADIO;Male;20;31.8
ASSANA;Male;20;31.8
JUSTO DANIEL;Male;20;31.8
ERIC ANDREI;Male;20;2.9
WIHAM;Female;20;5.9
ALEX FLORIN;Male;20;6.9
OBAIDA;Male;20;6.9
AIRI;Female;20;9.9
ALEXIA ISABEL;Female;20;9.9
LEYI;Female;20;9.9
ERIK SANTIAGO;Male;20;10.9
JHOAN;Male;20;11.9
LORIEN;Female;20;11.9
AXEL DANIEL;Male;20;12.9
GEORGIANA BIANCA;Female;20;13.9
JEFFERSON ADRIAN;Male;20;14.9
JOSHUA MICHAEL;Male;20;14.9
CAMELIA ANDREEA;Female;20;15.9
DANIELLA MARIA;Female;20;15.9
JUAN EMANUEL;Male;20;16.9
SEKU;Male;20;16.9
LAUREN LOUISE;Female;20;16.9
CRISTOPHER DAVID;Male;20;17.9
JEFFERSON MAURICIO;Male;20;17.9
FATIMA ANDREA;Female;20;17.9
ANDRES FABRICIO;Male;20;18.9
BRAIM;Male;20;18.9
FRANCO ARIEL;Male;20;18.9
AROA ISABEL;Female;20;18.9
YUFEI;Female;20;18.9
RICARDO SAMUEL;Male;20;19.9
ADRIANA GEORGIANA;Female;20;19.9
CAMILA SOLEDAD;Female;20;19.9
NIRA MARIA;Female;20;19.9
ROCIO CANDELARIA;Female;20;19.9
CRISTIAN ARTURO;Male;20;20.9
SARA JULIANA;Female;20;20.9
FRANKIE;Male;20;21.9
RICHARD ALEXIS;Male;20;21.9
DAYANI;Female;20;21.9
ERIKA ADRIANA;Female;20;21.9
ESTEFANIA BELEN;Female;20;21.9
YESICA ANDREA;Female;20;21.9
PAULA ALINA;Female;20;22.9
VANESSA ANDREINA;Female;20;22.9
ANEUDY;Male;20;23.9
JACK ROBERT;Male;20;23.9
RAZVAN CLAUDIU;Male;20;23.9
HEIDY CAROLINA;Female;20;23.9
SHEILA ANGELES;Female;20;23.9
YAIZA CRISTINA;Female;20;23.9
ELAYNE;Female;20;25.9
YENI CAROLINA;Female;20;25.9
ADRIAN ARIEL;Male;20;26.9
RUBEN RODRIGO;Male;20;26.9
LUISA MAR;Female;20;26.9
SELVA MARIA;Female;20;26.9
ANSCARI;Male;20;27.9
REYHAN;Male;20;27.9
ELSA LORENA;Female;20;27.9
ERICA PINO;Female;20;27.9
MAGDALA;Female;20;27.9
ROCIO MANUELA;Female;20;27.9
ALEJANDRO ISIDRO;Male;20;28.9
TEODOSI;Male;20;28.9
ALMUDENA ANGELES;Female;20;28.9
ALBERTO EDUARD;Male;20;29.9
DAVID OCTAVIO;Male;20;29.9
ISMAEL IGNACIO;Male;20;29.9
LAURENTIU GHEORGHE;Male;20;29.9
IOANA FLORICA;Female;20;29.9
JEANNETH ALEXANDRA;Female;20;29.9
LIDIA ANDREA;Female;20;29.9
VERONICA KARINA;Female;20;29.9
FAUSTO ANDRES;Male;20;30.9
IVAN ALONSO;Male;20;30.9
SERGIO FEDERICO;Male;20;30.9
WILMER RAFAEL;Male;20;30.9
GLADYS MARIBEL;Female;20;30.9
TASNEEM;Female;20;30.9
MISHELL;Female;20;10.0
DENNIS GABRIEL;Male;20;12.0
YUCHEN;Male;20;12.0
AZUL MARIA;Female;20;12.0
DANIELA ROSARIO;Female;20;13.0
MARCO SEBASTIAN;Male;20;14.0
ANA MARIA ANDREEA;Female;20;14.0
BEATRICE ALEXANDRA;Female;20;14.0
IZAMAR;Female;20;16.0
BENJAMIN ALEJANDRO;Male;20;17.0
EVELIN TATIANA;Female;20;17.0
SOFIA HELENA;Female;20;17.0
JOHAN EDUARDO;Male;20;18.0
XIANGYU;Male;20;18.0
